reservedWords
ADD
ALL
ALTER
AND
ANY
AS
ASC
AUTHORIZATION
BACKUP
BEGIN
BETWEEN
BREAK
BROWSE
BULK
BY
CASCADE
CASE
CHECK
CHECKPOINT
CLOSE
CLUSTERED
COALESCE
COLLATE
COLUMN
COMMIT
COMPUTE
CONSTRAINT
CONTAINS
CONTAINSTABLE
CONTINUE
CONVERT
CREATE
CROSS
CURRENT
CURRENT_DATE
CURRENT_TIME
CURRENT_TIMESTAMP
CURRENT_USER
CURSOR
DATABASE
DBCC
DEALLOCATE
DECLARE
DEFAULT
DELETE
DENY
DESC
DISK
DISTINCT
DISTRIBUTED
DOUBLE
DROP
DUMP
ELSE
END
ERRLVL
ESCAPE
EXCEPT
EXEC
EXECUTE
EXISTS
EXIT
ABSOLUTE
ACTION
ADA
ALLOCATE
ARE
ASSERTION
AT
AVG
BIT
BIT_LENGTH
BOTH
CASCADED
CAST
CATALOG
CHAR
CHAR_LENGTH
CHARACTER
CHARACTER_LENGTH
COLLATION
CONNECT
CONNECTION
CONSTRAINTS
CORRESPONDING
COUNT
DATE
DAY
DEC
DECIMAL
DEFERRABLE
DEFERRED
DESCRIBE
DESCRIPTOR
DIAGNOSTICS
DISCONNECT
DOMAIN
END-EXEC
EXCEPTION
ADMIN
AFTER
AGGREGATE
ALIAS
ARRAY
ASENSITIVE
ASYMMETRIC
ATOMIC
BEFORE
BINARY
BLOB
BOOLEAN
BREADTH
CALL
CALLED
CARDINALITY
CLASS
CLOB
COLLECT
COMPLETION
CONDITION
CONSTRUCTOR
CORR
COVAR_POP
COVAR_SAMP
CUBE
CUME_DIST
CURRENT_CATALOG
CURRENT_DEFAULT_TRANSFORM_GROUP
CURRENT_PATH
CURRENT_ROLE
CURRENT_SCHEMA
CURRENT_TRANSFORM_GROUP_FOR_TYPE
CYCLE
DATA
DEPTH
DEREF
DESTROY
DESTRUCTOR
DETERMINISTIC
DICTIONARY
DYNAMIC
EACH
ELEMENT
EQUALS
EVERY
FALSE
FILTER
FIRST
FLOAT
FOUND
FREE
FULLTEXTTABLE
FUSION
GENERAL
GET
GLOBAL
GO
GROUPING
HOLD
EXTERNAL
FETCH
FILE
FILLFACTOR
FOR
FOREIGN
FREETEXT
FREETEXTTABLE
FROM
FULL
FUNCTION
GOTO
GRANT
GROUP
HAVING
HOLDLOCK
IDENTITY
IDENTITY_INSERT
IDENTITYCOL
IF
IN
INDEX
INNER
INSERT
INTERSECT
INTO
IS
JOIN
KEY
KILL
LEFT
LIKE
LINENO
LOAD
MERGE
NATIONAL
NOCHECK
NONCLUSTERED
NOT
NULL
NULLIF
OF
OFF
OFFSETS
ON
OPEN
OPENDATASOURCE
OPENQUERY
OPENROWSET
OPENXML
OPTION
OR
ORDER
OUTER
OVER
PERCENT
PIVOT
PLAN
PRECISION
PRIMARY
PRINT
PROC
EXTRACT
FORTRAN
HOUR
IMMEDIATE
INCLUDE
INDICATOR
INITIALLY
INPUT
INSENSITIVE
INT
INTEGER
INTERVAL
ISOLATION
LANGUAGE
LAST
LEADING
LEVEL
LOCAL
LOWER
MATCH
MAX
MIN
MINUTE
MODULE
MONTH
NAMES
NATURAL
NCHAR
NEXT
NO
NONE
NUMERIC
OCTET_LENGTH
ONLY
OUTPUT
HOST
IGNORE
INITIALIZE
INOUT
INTERSECTION
ITERATE
LARGE
LATERAL
LESS
LIKE_REGEX
LIMIT
LN
LOCALTIME
LOCALTIMESTAMP
LOCATOR
MAP
MEMBER
METHOD
MOD
MODIFIES
MODIFY
MULTISET
NCLOB
NEW
NORMALIZE
OBJECT
OCCURRENCES_REGEX
OLD
OPERATION
ORDINALITY
OUT
OVERLAY
PAD
PARAMETER
PARAMETERS
PARTIAL
PARTITION
PATH
POSTFIX
PREFIX
PREORDER
PREPARE
PERCENT_RANK
PERCENTILE_CONT
PERCENTILE_DISC
POSITION_REGEX
PRESERVE
PRIOR
PRIVILEGES
RANGE
READS
REAL
RECURSIVE
REF
REFERENCING
REGR_AVGX
REGR_AVGY
REGR_COUNT
REGR_INTERCEPT
REGR_R2
REGR_SLOPE
REGR_SXX
REGR_SXY
REGR_SYY
PROCEDURE
PUBLIC
RAISERROR
READ
READTEXT
RECONFIGURE
REFERENCES
REPLICATION
RESTORE
RESTRICT
RETURN
REVERT
REVOKE
RIGHT
ROLLBACK
ROWCOUNT
ROWGUIDCOL
RULE
SAVE
SCHEMA
SECURITYAUDIT
SELECT
